Date,Time,ASHP reading,
05/01/2021,14:49,,
06/01/2021,14:45,,
07/01/2021,14:16,,
08/01/2021,16:26,,
09/01/2021,,,
10/01/2021,14:55,,
11/01/2021,14:14,,
12/01/2021,14:13,,
13/01/2021,14:24,,
14/01/2021,14:40,2153.32,
15/01/2021,14:25,2182.28,
16/01/2021,14:20,2212.81,
17/01/2021,15:37,2235.93,
18/01/2021,14:17,2261.12,
19/01/2021,14:11,2280.09,
20/01/2021,14:24,2296.5,
21/01/2021,14:13,2312.49,
22/01/2021,14:21,2338.08,
23/01/2021,14:15,2373.56,
24/01/2021,13:55,2404.12,
25/01/2021,14:22,2442.13,
26/01/2021,16:09,2479.24,
27/01/2021,14:20,2497.5,
28/01/2021,14:00,2513.39,
29/01/2021,14:10,2529.15,
30/01/2021,16:39,2554.55,
31/01/2021,14:50,2582.49,
01/02/2021,14:28,2614.16,
02/02/2021,14:29,2645.59,
03/02/2021,14:09,2667.18,
04/02/2021,14:09,2691.28,
05/02/2021,14:40,2712.46,
06/02/2021,14:13,2743,
07/02/2021,14:35,2776.54,
08/02/2021,,,
09/02/2021,14:18,2852.83,
10/02/2021,16:01,2898.39,
11/02/2021,14:03,2940.6,
12/02/2021,14:02,2983.19,
13/02/2021,14:27,3030.4,
14/02/2021,14:23,3072.02,
15/02/2021,14:03,3102.51,
16/02/2021,14:08,3122.15,
17/02/2021,14:01,3141.34,
18/02/2021,13:55,3160.05,
19/02/2021,14:21,3180.74,
20/02/2021,14:39,3197.69,
21/02/2021,,,
22/02/2021,14:13,3227.49,
23/02/2021,14:08,3245.28,
24/02/2021,14:21,3259.62,
25/02/2021,14:12,3273.04,
26/02/2021,14:21,3290.14,
27/02/2021,14:12,3307.3,
28/02/2021,15:11,3323.44,
01/03/2021,14:20,3340.12,
02/03/2021,14:22,3368.15,
03/03/2021,14:25,3397.07,
04/03/2021,14:52,3422.88,
05/03/2021,14:09,3448.5,
06/03/2021,,,
07/03/2021,,,
08/03/2021,14:08,3525.7,
09/03/2021,14:11,3545.62,
10/03/2021,14:03,3564.37,
11/03/2021,13:21,3578.23,
12/03/2021,,,
13/03/2021,,,
14/03/2021,,,
15/03/2021,14:17,3653.1,
16/03/2021,,,
17/03/2021,,,
18/03/2021,14:08,3698.86,
19/03/2021,,,
20/03/2021,,,
21/03/2021,,,
22/03/2021,,,
23/03/2021,,,
24/03/2021,,,
25/03/2021,,,
26/03/2021,,,
27/03/2021,,,
28/03/2021,14:40,3821.61,
29/03/2021,,,
30/03/2021,,,
31/03/2021,,,
01/04/2021,,,
02/04/2021,,,
03/04/2021,,,
04/04/2021,19:06,,
05/04/2021,,,
06/04/2021,,,
07/04/2021,15:53,3908.85,
08/04/2021,,,
09/04/2021,,,
10/04/2021,13:52,3959.35,
11/04/2021,,,
12/04/2021,,,
13/04/2021,,,
14/04/2021,,,
15/04/2021,,,
16/04/2021,14:09,4048.26,
17/04/2021,13:51,4058.09,
18/04/2021,,,
19/04/2021,,,
20/04/2021,13:59,4071.9,
21/04/2021,14:04,4074.72,
22/04/2021,14:01,4079.76,
23/04/2021,14:07,4083.42,
24/04/2021,17:29,4087.42,
25/04/2021,,,
26/04/2021,14:22,4093.52,
27/04/2021,14:21,4096.06,
28/04/2021,14:34,4101.21,
29/04/2021,,,
30/04/2021,,,
01/05/2021,14:25,4135.54,
02/05/2021,13:52,4145.21,
03/05/2021,14:00,4155.79,
04/05/2021,,,
05/05/2021,,,
06/05/2021,,,
07/05/2021,,,
08/05/2021,,,
09/05/2021,14:14,4217.01,
10/05/2021,,,
11/05/2021,,,
12/05/2021,14:22,4234.03,
13/05/2021,,,
14/05/2021,,,
15/05/2021,,,
16/05/2021,,,
17/05/2021,,,
18/05/2021,,,
19/05/2021,,,
20/05/2021,,,
21/05/2021,,,
22/05/2021,,,
23/05/2021,13:06,4315.75,
24/05/2021,,,
25/05/2021,,,
26/05/2021,,,
27/05/2021,,,
28/05/2021,,,
29/05/2021,,,
30/05/2021,,,
31/05/2021,,,
01/06/2021,,,
02/06/2021,,,
03/06/2021,,,
04/06/2021,13:50,4370.78,
05/06/2021,,,
06/06/2021,14:25,4374.27,
07/06/2021,,,
08/06/2021,,,
09/06/2021,,,
10/06/2021,,,
11/06/2021,,,
12/06/2021,14:41,4386.32,
13/06/2021,,,
14/06/2021,,,
15/06/2021,,,
16/06/2021,,,
17/06/2021,,,
18/06/2021,,,
19/06/2021,,,
20/06/2021,,,
21/06/2021,,,
22/06/2021,,,
23/06/2021,,,
24/06/2021,,,
25/06/2021,,,
26/06/2021,,,
27/06/2021,13:54,4408.41,
28/06/2021,,,
29/06/2021,,,
30/06/2021,,,
01/07/2021,,,
02/07/2021,,,
03/07/2021,,,
04/07/2021,,,
05/07/2021,,,
06/07/2021,,,
07/07/2021,,,
08/07/2021,,,
09/07/2021,,,
10/07/2021,,,
11/07/2021,,,
12/07/2021,,,
13/07/2021,,,
14/07/2021,,,
15/07/2021,,,
16/07/2021,09:37,4442.18,
17/07/2021,,,
18/07/2021,,,
19/07/2021,,,
20/07/2021,,,
21/07/2021,,,
22/07/2021,,,
23/07/2021,,,
24/07/2021,,,
25/07/2021,,,
26/07/2021,,,
27/07/2021,,,
28/07/2021,,,
29/07/2021,,,
30/07/2021,,,
31/07/2021,10:56,4465.1,
01/08/2021,,,
02/08/2021,,,
03/08/2021,,,
04/08/2021,,,
05/08/2021,,,
06/08/2021,,,
07/08/2021,,,
08/08/2021,,,
09/08/2021,,,
10/08/2021,,,
11/08/2021,,,
12/08/2021,,,
13/08/2021,,,
14/08/2021,,,
15/08/2021,10:02,4492.74,
16/08/2021,,,
17/08/2021,,,
18/08/2021,,,
19/08/2021,,,
20/08/2021,,,
21/08/2021,,,
22/08/2021,,,
23/08/2021,,,
24/08/2021,,,
25/08/2021,,,
26/08/2021,,,
27/08/2021,,,
28/08/2021,15:30,4519.41,
29/08/2021,,,
30/08/2021,,,
31/08/2021,,,
01/09/2021,,,
02/09/2021,,,
03/09/2021,,,
04/09/2021,,,
05/09/2021,12:04,4536.06,
06/09/2021,,,
07/09/2021,,,
08/09/2021,,,
09/09/2021,,,
10/09/2021,,,
11/09/2021,,,
12/09/2021,,,
13/09/2021,,,
14/09/2021,,,
15/09/2021,,,
16/09/2021,,,
17/09/2021,,,
18/09/2021,17:25,4562.11,
19/09/2021,,,
20/09/2021,,,
21/09/2021,,,
22/09/2021,,,
23/09/2021,,,
24/09/2021,,,
25/09/2021,,,
26/09/2021,12:05,4578.3,
27/09/2021,,,
28/09/2021,,,
29/09/2021,,,
30/09/2021,,,
01/10/2021,,,
02/10/2021,,,
03/10/2021,13:55,4617.25,
04/10/2021,13:55,4625.53,
05/10/2021,,,
06/10/2021,,,
07/10/2021,13:55,4652.85,
08/10/2021,13:55,4658.29,
09/10/2021,14:25,4665.14,
10/10/2021,15:04,4671.24,
11/10/2021,,,
12/10/2021,,,
13/10/2021,13:50,4690.14,
14/10/2021,13:50,4697.92,
15/10/2021,,,
16/10/2021,13:50,4715.22,
17/10/2021,,,
18/10/2021,13:34,4731.41,
19/10/2021,,,
20/10/2021,,,
21/10/2021,,,
22/10/2021,13:55,4760.3,
23/10/2021,,,
24/10/2021,13:55,4787.7,
25/10/2021,13:55,4799.48,
26/10/2021,13:50,4812.16,
27/10/2021,,,
28/10/2021,,,
29/10/2021,13:50,4839.78,
30/10/2021,13:50,4850.84,
31/10/2021,,,
01/11/2021,,,
02/11/2021,,,
03/11/2021,,,
04/11/2021,,,
05/11/2021,13:50,4952.69,
06/11/2021,,,
07/11/2021,,,
08/11/2021,13:50,5004.51,
09/11/2021,,,
10/11/2021,,,
11/11/2021,13:50,5041.37,
12/11/2021,,,
13/11/2021,15:00,5067.62,
14/11/2021,13:50,5079.34,
15/11/2021,13:50,5095.78,
16/11/2021,13:50,5109.32,
17/11/2021,,,
18/11/2021,16:00,5139.14,
19/11/2021,,,
20/11/2021,13:50,5209.92,
