Date,Time,Reading,Daily,Daily cost,"Monthly cost, projected",ASHP reading,ASHP daily,ASHP daily cost,ASHP monthly cost,ASHP %,Not ASHP daily,Comment,,,
05/01/2021,14:49,33619,,,,,,,,,,,Price per unit,£0.18,
06/01/2021,14:45,33679,60,£10.93,£327.78,,,,,,,,Daily standing charge,£0.25,
07/01/2021,14:16,33742,63,£11.47,£344.17,,,,,,,,,,
08/01/2021,16:26,33808,66,£12.02,£360.56,,,,,,,Near freezing,,,
09/01/2021,,,,,,,,,,,,,,,
10/01/2021,14:55,33935,,,,,,,,,,,,,
11/01/2021,14:14,33986,51,£9.29,£278.61,,,,,,,,,,
12/01/2021,14:13,34030,44,£8.01,£240.37,,,,,,,Warmer ~8C,,,
13/01/2021,14:24,34077,47,£8.56,£256.76,,,,,,,Warmer ~9C,,,
14/01/2021,14:40,34117,40,£7.28,£218.52,2153.32,,,,,,Warmer ~9C,,,
15/01/2021,14:25,34161,44,£8.01,£240.37,2182.28,29.0,£5.27,£158.21,66%,£2.74,~4C,,,
16/01/2021,14:20,34215,54,£9.83,£295.00,2212.81,30.5,£5.56,£166.79,57%,£4.27,Calibrated thermostats (+1.2C),,,
17/01/2021,15:37,34262,47,£8.56,£256.76,2235.93,23.1,£4.21,£126.30,49%,£4.35,,,,
18/01/2021,14:17,34304,42,£7.65,£229.45,2261.12,25.2,£4.59,£137.61,60%,£3.06,,,,
19/01/2021,14:11,34338,34,£6.19,£185.74,2280.09,19.0,£3.45,£103.63,56%,£2.74,Wamer? Adjusted app a bit?,,,
20/01/2021,14:24,34376,38,£6.92,£207.59,2296.5,16.4,£2.99,£89.65,43%,£3.93,"~10C. Turned off ""Optimum Start"" in morning",,,
21/01/2021,14:13,34408,32,£5.83,£174.82,2312.49,16.0,£2.91,£87.35,50%,£2.92,~3C. Storm Christoph over,,,
22/01/2021,14:21,34445,37,£6.74,£202.13,2338.08,25.6,£4.66,£139.80,69%,£2.08,Freezing overnight,,,
23/01/2021,14:15,34496,51,£9.29,£278.61,2373.56,35.5,£6.46,£193.83,70%,£2.83,Freezing overnight - also something weird happened to heating +2hrs to clock,,,
24/01/2021,13:55,34556,60,£10.93,£327.78,2404.12,30.6,£5.56,£166.95,51%,£5.36,Freezing overnight,,,
